scenario,trial,lambda,lambda_rmse,lambda_relative_mae,measurement_rmse,measurement_relative_mae,sicc_rmse,sicc_relative_mae,lambda_detection_rate,sicc_detection_rate
P1_10sigma,300018,0.12915496650148828,0.4920651250638867,0.12729879193591825,0.47398386171896484,0.05346130278878926,0.5041742608937986,0.07652574948688332,0.0,0.0
P1_10sigma,300019,7.742636826811277,0.45887594772684664,0.09574055955400441,0.4618832029359281,0.10791881297143245,0.47813596759619537,0.14778472689553074,0.0,0.0
P1_10sigma,300020,0.12915496650148828,0.45128078466476246,0.13945165806866067,0.4337844640325926,0.07561508067743312,0.4561559881049027,0.09385189808879064,0.0,0.0
P1_10sigma,300021,7.742636826811277,0.8173403141827448,0.15005142270969857,0.816616461452055,0.14340728883962744,0.8286730817816234,0.19892343512350416,0.0,0.0
P1_10sigma,300022,0.12915496650148828,0.5206328962766924,0.13082795892545843,0.5105756804155951,0.08063756089834966,0.523606501855509,0.13846630466140958,0.0,0.0
P1_10sigma,300023,0.12915496650148828,0.37238475605830074,0.11352723964865098,0.3616307582693918,0.07281763915685822,0.3951897754552199,0.12589770769098454,0.0,0.0
P1_10sigma,300024,0.12915496650148828,0.3367986683862845,0.12063677485225918,0.3141907296000072,0.07637466508814612,0.34136450787207956,0.12672005441158712,0.0,0.0
P1_10sigma,300025,7.742636826811277,0.7680283994874048,0.1437163460584137,0.7703463420291211,0.1581990942619717,0.7537942794626974,0.15687058588035788,0.0,1.0
P1_10sigma,300026,7.742636826811277,0.43421258600699775,0.06406052388188756,0.4335947754221315,0.058109751700308646,0.4469514292310531,0.10635339671578607,0.0,0.0
P1_10sigma,300027,0.12915496650148828,0.17901589656309513,0.06881841313300902,0.15310250229587974,0.028116908461815145,0.23142388962526245,0.08417861503987499,0.0,0.0
P1_10sigma,300028,0.12915496650148828,0.42227330596694507,0.11675502499266437,0.4313440559717615,0.12663586472192687,0.5065622091863636,0.21507582103384543,0.0,0.0
P1_10sigma,300029,7.742636826811277,0.48658940620017577,0.09628374318958552,0.4860126209920313,0.08987506163312688,0.49731145194997917,0.1405838118122387,0.0,0.0
P1_10sigma,300030,7.742636826811277,0.5445885029955059,0.17363126239883978,0.5470878952880218,0.17763173956147277,0.5286846926734237,0.14283365715064308,0.0,0.0
P1_10sigma,300031,7.742636826811277,0.4244387298898646,0.09535224732147962,0.4233058844855917,0.08831204070403098,0.4466673011784892,0.15011854485440854,0.0,0.0
P1_10sigma,300032,7.742636826811277,0.2573343642243103,0.06353198044346905,0.25509864008177097,0.056276217831629706,0.2950345361394719,0.11861921148620903,0.0,0.0
P1_10sigma,300033,0.12915496650148828,0.4739157754229354,0.12550788325050533,0.463444405856768,0.07114904095010074,0.47427475805918473,0.12516926123357372,0.0,0.0
P1_10sigma,300034,0.12915496650148828,0.1988185214835732,0.07868277320422233,0.16403240249890028,0.01622235869473063,0.2153834527839059,0.0347420518556643,0.0,0.0
P1_10sigma,300035,7.742636826811277,0.4038846586833616,0.06677907312046408,0.4039683292439596,0.05961122723743541,0.4346713736590873,0.1129939397977212,0.0,0.0
P1_10sigma,300036,5.994842503189409e-07,0.425029570235966,0.14236525089629418,0.40051337447263674,0.07443085449408939,0.3694756752713907,0.07260641838730333,0.0,1.0
P1_10sigma,300037,7.742636826811277,0.3467241068275142,0.0439595910552567,0.3469479585895026,0.036287049356801895,0.3756753072580852,0.06136789125561204,0.0,0.0
P1_10sigma,300038,7.742636826811277,0.4082360587232448,0.04642854984961257,0.4086460560689901,0.047843284900831715,0.3842160841680024,0.04637681831153417,0.0,1.0
P1_10sigma,300039,0.12915496650148828,0.8569544830561174,0.19120018713482972,0.8471599547151425,0.1233616038528159,0.8311189592597319,0.12118177177497746,0.0,1.0
P1_10sigma,300040,0.12915496650148828,0.9066170536460137,0.2174595501098431,0.8979561165852424,0.153173767661228,0.9156773675565694,0.21246939935984618,0.0,0.0
P1_10sigma,300041,0.12915496650148828,0.5841208813451589,0.13929465215510078,0.5774353898662441,0.12176245038037493,0.5855650667574245,0.14254304551990576,0.0,0.0
P1_10sigma,300042,0.12915496650148828,0.3407293908047447,0.12103799602206704,0.31263301233593455,0.07437901242075458,0.347459715345966,0.1288730990190204,0.0,0.0
P1_10sigma,300043,0.12915496650148828,0.6478852518757521,0.13288344940512634,0.6400932805094691,0.08315830676052752,0.6500567574632911,0.1399377184166737,0.0,0.0
P1_10sigma,300044,7.742636826811277,0.5838794893140102,0.06249580473153611,0.5848579443768436,0.07292026565912568,0.5651672168131661,0.07141714488125979,0.0,1.0
P1_10sigma,300045,0.12915496650148828,0.7412547552892833,0.1600506337069269,0.7329747802945437,0.11684326922590386,0.7432151607289524,0.16638225331129686,0.0,0.0
P1_10sigma,300046,0.12915496650148828,0.5771557891061926,0.15980944687309423,0.572478463343367,0.13807136959778918,0.6224932361929179,0.218402034343989,0.0,0.0
P1_10sigma,300047,7.742636826811277,0.26855427094517953,0.05169942122984532,0.2733953776350584,0.06339117286964392,0.233349845537478,0.06211218243356777,0.0,1.0
P1_10sigma,300048,0.12915496650148828,0.2650254897710596,0.09221137249514459,0.24970671498544042,0.06523852491318437,0.26843103976281857,0.09669704671687815,0.0,0.0
P1_10sigma,300049,0.12915496650148828,0.3329613797202258,0.08481538231029699,0.3325653720014093,0.07745152922264165,0.3870885358605557,0.1024760610400173,0.0,0.0
P1_10sigma,300050,0.12915496650148828,0.8044527572735242,0.17105492247394075,0.8007128831792003,0.13846673958441685,0.7906738910491984,0.1369983359051574,0.0,1.0
P1_10sigma,300051,0.12915496650148828,0.4872347908306642,0.14910440711078735,0.4689122779971664,0.08478838748681798,0.5095889601563457,0.1511309623408428,0.0,0.0
P1_10sigma,300052,7.742636826811277,0.4243289292523056,0.17113751216776202,0.4297153133190469,0.17685541700077523,0.3922368247762239,0.1299660381724191,0.0,0.0
P1_10sigma,300053,7.742636826811277,0.4953151521685215,0.15341363813602754,0.49481105201274705,0.15239707112566694,0.49947573933038997,0.1612689992548913,0.0,0.0
P1_10sigma,300054,0.12915496650148828,0.6329092595264201,0.13406060864557726,0.6188298915039059,0.06384183138128378,0.6459177024730838,0.125654407427771,0.0,0.0
P1_10sigma,300055,7.742636826811277,0.5471782270370127,0.12719598938809168,0.5521553676199936,0.1426203213271467,0.6092115105221455,0.22800716053589756,0.0,0.0
P1_10sigma,300056,7.742636826811277,0.6291337227120084,0.06534481996283342,0.6294078841188546,0.07017378287627447,0.6432238262140109,0.08714121896538927,0.0,0.0
P1_10sigma,300057,0.12915496650148828,0.7249288715715626,0.16126585771172045,0.7188280697020984,0.11629518031036915,0.725226559343156,0.16768681848147277,0.0,0.0
P1_10sigma,300058,0.12915496650148828,0.6397532279407236,0.12162716651287404,0.6465860382586649,0.13729493919403626,0.641337086778656,0.13697147035483884,0.0,1.0
Q1_2sigma,400000,0.12915496650148828,0.05652120852394034,0.01951971507178493,0.060594408906224057,0.021940114345390466,0.05575237622417818,0.01813194475791805,0.0,0.0
Q1_2sigma,400001,7.742636826811277,0.19435967986467373,0.049944790539252555,0.19681028550488675,0.05329451002805859,0.18787301928291059,0.02675936917662363,0.0,1.0
Q1_2sigma,400002,7.742636826811277,0.34302553215322373,0.05918345043066212,0.34305850629248363,0.05965858409870246,0.34290277285601994,0.05748976836858166,0.0,0.0
Q1_2sigma,400003,0.12915496650148828,0.3426630391246335,0.0667367645827686,0.3487956925587039,0.09245380361506107,0.34232382478831236,0.062348049477965316,0.0,0.0
Q1_2sigma,400004,0.12915496650148828,0.08862483156166696,0.018860094677414497,0.1315346962174198,0.06872830505421453,0.08918401462757648,0.022565797152964955,0.0,0.0
Q1_2sigma,400005,0.12915496650148828,0.44114941359445403,0.05813086565917735,0.44119778436698603,0.054529307230816594,0.44125792917153034,0.05976841197369826,0.0,0.0
Q1_2sigma,400006,0.12915496650148828,0.29714230055495766,0.06671412300747481,0.31978605183623554,0.11010160104769308,0.2985786106098523,0.06523955015584505,0.0,0.0
Q1_2sigma,400007,7.742636826811277,0.15029189710460208,0.03767639062992229,0.1508626664430648,0.03966581688196721,0.14904342552590116,0.027565018622168203,0.0,0.0
Q1_2sigma,400008,7.742636826811277,0.46278841551272903,0.11032185740489345,0.46465981639823095,0.11562609254475623,0.45828613970599563,0.09029071370088078,0.0,0.0
Q1_2sigma,400009,7.742636826811277,0.5538745795699129,0.0757495223050633,0.5541960333304776,0.07738342635332648,0.5525142409506021,0.06146489622216163,0.0,1.0
Q1_2sigma,400010,7.742636826811277,0.539790265823483,0.08756533364766082,0.540033252817565,0.0894574420912926,0.5392007793001858,0.08335671790808355,0.0,1.0
Q1_2sigma,400011,0.12915496650148828,0.4150100402000753,0.05585168493228983,0.4167606201356152,0.06898983162384362,0.4148963999321583,0.05270059058734384,0.0,0.0
Q1_2sigma,400012,7.742636826811277,0.5036707420489622,0.13118883672250747,0.5059938849460431,0.137553269105997,0.49623265759629165,0.09194832967531444,0.0,0.0
Q1_2sigma,400013,0.12915496650148828,0.812355670861512,0.09975643514941299,0.8235165925239868,0.16369176457788812,0.8361554768687826,0.1649273805972083,0.0,0.0
Q1_2sigma,400014,0.12915496650148828,0.37908520656348205,0.07029717890561313,0.38246934530672616,0.08211505401086493,0.3831525730848759,0.08142536928446693,0.0,0.0
Q1_2sigma,400015,7.742636826811277,1.1786771692823699,0.17218743478395562,1.178689806746688,0.1723647487149613,1.1788705171261873,0.17668378788380484,0.0,0.0
